"module name","license","repository"
"@hapi/boom@10.0.1","BSD-3-Clause","https://github.com/hapijs/boom"
"@hapi/bourne@3.0.0","BSD-3-Clause","https://github.com/hapijs/bourne"
"@hapi/hoek@10.0.1","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/hoek@11.0.2","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/hoek@9.3.0","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/topo@5.1.0","BSD-3-Clause","https://github.com/hapijs/topo"
"@hapi/wreck@18.0.1","BSD-3-Clause","https://github.com/hapijs/wreck"
"@sideway/address@4.1.4","BSD-3-Clause","https://github.com/sideway/address"
"@sideway/formula@3.0.1","BSD-3-Clause","https://github.com/sideway/formula"
"@sideway/pinpoint@2.0.0","BSD-3-Clause","https://github.com/sideway/pinpoint"
"debug@4.3.4","MIT","https://github.com/debug-js/debug"
"joi@17.9.1","BSD-3-Clause","https://github.com/hapijs/joi"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"simple-oauth2@5.0.0","Apache-2.0","https://github.com/lelylan/simple-oauth2"
"ts_prj_template@1.0.1","MIT","https://github.com/VictorVanO/ts-prj-template"
"yui-lint@0.2.0","BSD","https://github.com/yui/yui-lint"